x,y,shape_factor,area,sum,az,az2
3753600,2888900,0.0952147355122969,13386.3655295839,6433.85815433194,79.1996968591785,79.1996968591785
3753600,2888800,0.226374128282568,13518.9004640266,6160.37145868192,64.7777940441492,64.7777940441492
3753600,2888700,0.256991401654131,15823.2296453084,3490.02374845362,67.0329332047173,67.0329332047173
3753600,2888600,0.36308719007606,3208.3013610241,3710.91749020795,45.8044007999763,45.8044007999763
3753600,2888500,0.358303870076685,4622.82102883708,3834.65763345935,81.7937806628598,81.7937806628598
3753600,2888400,0.275114251598476,4526.93689373797,117.577125867295,70.469804704509,70.469804704509
3753700,2889100,0.18405497813254,4463.92722534987,5188.82433550213,70.66955626462,70.66955626462
3753700,2889000,0.38982293731567,4500.3093854153,4707.07571398308,72.9617029111852,72.9617029111852
3753700,2888900,0.299209458985233,15037.4112307617,8339.38398113717,67.2313572194077,67.2313572194077
3753700,2888800,0.241160656616585,16570.8803807821,8294.03064400043,64.7151982653113,64.7151982653113
3753700,2888700,0.226306703306178,17010.5873155859,8473.2775867844,64.0176851826212,64.0176851826212
3753700,2888600,0.207224264349548,17921.9218838007,7890.49588333717,64.3616749898191,64.3616749898191
3753700,2888500,0.21549656370318,9149.82556006657,5002.568607963,93.1966799136977,86.8033200863023
3753700,2888400,0.298242401933697,7329.48241293608,4807.14274111759,76.9038204495631,76.9038204495631
3753700,2888300,0.242645968349808,14121.4474507994,9235.95328136741,45.047622583169,45.047622583169
3753700,2888200,0.257041810662188,4991.10737216586,5490.82598175572,98.250584127275,81.749415872725
3753700,2888100,0.254298836473246,1123.85976735918,5232.27002256996,111.856438794858,68.1435612051418
3753800,2889300,0.114938648759381,2971.33819677503,4534.2871405198,83.3634564798495,83.3634564798495
3753800,2889200,0.0942408534860053,3797.42617797709,4940.95424245098,77.4114644234679,77.4114644234679
3753800,2889100,0.140207885353067,11498.2798932305,6932.09584681103,70.4796746187105,70.4796746187105
3753800,2889000,0.337957814807714,15626.3750490685,7131.16152820698,66.8629785782908,66.8629785782908
3753800,2888900,0.392129414238283,11705.7220684154,6400.10287039227,66.1094084812179,66.1094084812179
3753800,2888800,0.282853539670179,17146.8618162399,4780.9259436714,65.1035374043591,65.1035374043591
3753800,2888700,0.261046850811564,19748.8504327191,7439.83201479055,88.1136419896481,88.1136419896481
3753800,2888600,0.388120720117509,18491.1741314205,6579.16527332214,146.387461157646,33.6125388423542
